scheme_code,date,nav
125497,2022-01-03,100.084
125497,2022-01-04,98.9733
125497,2022-01-05,98.5719
125497,2022-01-06,98.689
125497,2022-01-07,97.8099
125497,2022-01-10,98.1332
125497,2022-01-11,97.6911
125497,2022-01-12,97.4924
125497,2022-01-13,97.0524
125497,2022-01-14,98.5196
125497,2022-01-17,98.5386
125497,2022-01-18,97.7343
125497,2022-01-19,98.4068
125497,2022-01-20,97.4752
125497,2022-01-21,97.6673
125497,2022-01-24,96.1654
125497,2022-01-25,95.1725
125497,2022-01-26,95.3509
125497,2022-01-27,95.9428
125497,2022-01-28,96.1031
125497,2022-01-31,96.0431
125497,2022-02-01,95.8405
125497,2022-02-02,94.7357
125497,2022-02-03,94.2185
125497,2022-02-04,93.8996
125497,2022-02-07,94.7218
125497,2022-02-08,95.0107
125497,2022-02-09,93.6991
125497,2022-02-10,93.9701
125497,2022-02-11,93.7088
125497,2022-02-14,93.2295
125497,2022-02-15,93.7137
125497,2022-02-16,94.5147
125497,2022-02-17,95.2472
125497,2022-02-18,94.6363
125497,2022-02-21,94.4306
125497,2022-02-22,94.7092
125497,2022-02-23,95.4768
125497,2022-02-24,95.1394
125497,2022-02-25,95.0266
125497,2022-02-28,94.2141
125497,2022-03-01,93.3408
125497,2022-03-02,93.9755
125497,2022-03-03,95.0233
125497,2022-03-04,94.9971
125497,2022-03-07,95.7883
125497,2022-03-08,96.0941
125497,2022-03-09,95.627
125497,2022-03-10,95.9322
125497,2022-03-11,97.1413
125497,2022-03-14,97.1426
125497,2022-03-15,98.3877
125497,2022-03-16,96.3552
125497,2022-03-17,97.0177
125497,2022-03-18,97.1144
125497,2022-03-21,96.9112
125497,2022-03-22,97.0114
125497,2022-03-23,95.498
125497,2022-03-24,95.3588
125497,2022-03-25,95.6598
125497,2022-03-28,96.8195
125497,2022-03-29,96.4471
125497,2022-03-30,95.8523
125497,2022-03-31,95.4963
125497,2022-04-01,96.2243
125497,2022-04-04,96.5062
125497,2022-04-05,96.1261
125497,2022-04-06,96.5497
125497,2022-04-07,96.6536
125497,2022-04-08,97.4316
125497,2022-04-11,96.9136
125497,2022-04-12,96.6887
125497,2022-04-13,96.4144
125497,2022-04-14,95.3145
125497,2022-04-15,95.5689
125497,2022-04-18,95.7971
125497,2022-04-19,95.8298
125497,2022-04-20,95.6787
125497,2022-04-21,94.624
125497,2022-04-22,94.334
125497,2022-04-25,94.1036
125497,2022-04-26,93.5279
125497,2022-04-27,93.4353
125497,2022-04-28,93.7653
125497,2022-04-29,95.2083
125497,2022-05-02,95.3699
125497,2022-05-03,95.595
125497,2022-05-04,95.5667
125497,2022-05-05,94.1284
125497,2022-05-06,94.1367
125497,2022-05-09,94.2103
125497,2022-05-10,96.0951
125497,2022-05-11,95.976
125497,2022-05-12,96.2363
125497,2022-05-13,96.2385
125497,2022-05-16,95.3676
125497,2022-05-17,96.2681
125497,2022-05-18,96.8761
125497,2022-05-19,97.5182
125497,2022-05-20,96.838
125497,2022-05-23,97.9538
125497,2022-05-24,96.8846
125497,2022-05-25,97.3686
125497,2022-05-26,99.104
125497,2022-05-27,98.3484
125497,2022-05-30,97.9324
125497,2022-05-31,98.0398
125497,2022-06-01,97.6744
125497,2022-06-02,96.492
125497,2022-06-03,96.5739
125497,2022-06-06,95.7821
125497,2022-06-07,96.1737
125497,2022-06-08,95.4952
125497,2022-06-09,96.7079
125497,2022-06-10,96.131
125497,2022-06-13,95.9121
125497,2022-06-14,96.5651
125497,2022-06-15,95.6432
125497,2022-06-16,95.8459
125497,2022-06-17,96.877
125497,2022-06-20,95.6602
125497,2022-06-21,95.8302
125497,2022-06-22,96.0582
125497,2022-06-23,96.6878
125497,2022-06-24,95.76
125497,2022-06-27,94.7772
125497,2022-06-28,95.2014
125497,2022-06-29,95.4561
125497,2022-06-30,95.676
125497,2022-07-01,95.9699
125497,2022-07-04,95.4766
125497,2022-07-05,95.6826
125497,2022-07-06,95.9357
125497,2022-07-07,95.4162
125497,2022-07-08,96.869
125497,2022-07-11,97.2653
125497,2022-07-12,96.3675
125497,2022-07-13,96.9026
125497,2022-07-14,96.1761
125497,2022-07-15,96.8105
125497,2022-07-18,97.7369
125497,2022-07-19,97.1245
125497,2022-07-20,97.9022
125497,2022-07-21,98.2548
125497,2022-07-22,98.9305
125497,2022-07-25,100.4614
125497,2022-07-26,100.2943
125497,2022-07-27,99.7196
125497,2022-07-28,99.0399
125497,2022-07-29,98.4232
125497,2022-08-01,98.3921
125497,2022-08-02,98.6901
125497,2022-08-03,98.9382
125497,2022-08-04,99.6226
