investor_id,scheme_code,transaction_date,amount,nav,units_allotted,transaction_type
INV0001,125497,2022-01-07,1000,100.084,9.9916,SIP
INV0001,125497,2022-02-07,2000,96.0431,20.824,SIP
INV0001,125497,2022-03-07,10000,94.2141,106.1412,SIP
INV0001,125497,2022-04-07,1000,96.8195,10.3285,SIP
INV0001,125497,2022-05-07,10000,94.1036,106.2659,SIP
INV0001,125497,2022-06-07,2000,97.9538,20.4178,SIP
INV0001,125497,2022-07-07,2000,95.6602,20.9073,SIP
INV0001,125497,2022-08-07,2000,97.7369,20.4631,SIP
INV0001,125497,2022-09-07,2000,101.9073,19.6257,SIP
INV0001,125497,2022-10-07,10000,101.7798,98.2513,SIP
INV0001,125497,2022-11-07,5000,108.7035,45.9967,SIP
INV0001,125497,2022-12-07,5000,107.1836,46.6489,SIP
INV0001,125497,2023-01-07,10000,106.6334,93.7792,SIP
INV0001,125497,2023-02-07,1000,106.9338,9.3516,SIP
INV0001,125497,2023-03-07,10000,107.7527,92.8051,SIP
INV0001,125497,2023-04-07,1000,113.7198,8.7935,SIP
INV0001,125497,2023-05-07,1000,115.0508,8.6918,SIP
INV0001,125497,2023-06-07,5000,113.9154,43.8922,SIP
INV0001,125497,2023-07-07,2000,117.7204,16.9894,SIP
INV0001,125497,2023-08-07,5000,119.1476,41.9648,SIP
INV0001,125497,2023-09-07,5000,124.7162,40.091,SIP
INV0001,125497,2023-10-07,10000,122.9486,81.3348,SIP
INV0001,125497,2023-11-07,10000,118.4269,84.4403,SIP
INV0001,125497,2023-12-07,1000,120.1911,8.3201,SIP
INV0001,125497,2024-01-07,10000,120.405,83.053,SIP
INV0001,125497,2024-02-07,1000,116.3667,8.5935,SIP
INV0002,125497,2022-01-10,5000,100.084,49.958,SIP
INV0002,125497,2022-02-10,2000,96.0431,20.824,SIP
INV0002,125497,2022-03-10,1000,94.2141,10.6141,SIP
INV0002,125497,2022-04-10,10000,96.8195,103.285,SIP
INV0002,125497,2022-05-10,2000,94.1036,21.2532,SIP
INV0002,125497,2022-06-10,2000,97.9538,20.4178,SIP
INV0002,125497,2022-07-10,2000,95.6602,20.9073,SIP
INV0002,125497,2022-08-10,2000,97.7369,20.4631,SIP
INV0002,125497,2022-09-10,1000,101.9073,9.8128,SIP
INV0002,125497,2022-10-10,1000,101.7798,9.8251,SIP
INV0002,125497,2022-11-10,5000,108.7035,45.9967,SIP
INV0002,125497,2022-12-10,10000,107.1836,93.2979,SIP
INV0002,125497,2023-01-10,5000,106.6334,46.8896,SIP
INV0002,125497,2023-02-10,5000,106.9338,46.7579,SIP
INV0002,125497,2023-03-10,2000,107.7527,18.561,SIP
INV0002,125497,2023-04-10,10000,113.7198,87.9354,SIP
INV0002,125497,2023-05-10,2000,115.0508,17.3836,SIP
INV0002,125497,2023-06-10,1000,113.9154,8.7784,SIP
INV0002,125497,2023-07-10,5000,117.7204,42.4735,SIP
INV0002,125497,2023-08-10,10000,119.1476,83.9295,SIP
INV0002,125497,2023-09-10,1000,124.7162,8.0182,SIP
INV0002,125497,2023-10-10,5000,122.9486,40.6674,SIP
INV0002,125497,2023-11-10,10000,118.4269,84.4403,SIP
INV0003,120503,2022-01-02,5000,100.1712,49.9145,SIP
